item_id,name,width_cm,depth_cm,height_cm,mass_kg,priority,expiry_date,usage_limit,preferred_zone
000042,Protein_Bars,38.5,36.5,40.3,28.32,55,N/A,4026,Crew_Quarters
000043,Lab_Microscope,22.9,48.8,22.2,12.4,77,N/A,4340,Lab
000044,Thruster_Fuel,31.3,32.8,14,7.19,47,N/A,4059,Storage_Bay
000045,Solar_Panel,84.2,89.4,4.3,14.5,77,N/A,1846,Power_Bay
000046,Water_Bottle,16,11.8,46.7,4.41,87,N/A,2726,Storage_Bay
000047,Oxygen_Cylinder,28.2,22.8,89.6,30.8,22,N/A,3619,Crew_Quarters
000048,Tether_Reel,49.3,46.6,16.2,18.61,9,N/A,3269,External_Storage
000049,Waste_Management_Kit,20.9,23.3,14.5,2.2,36,N/A,92,Engineering_Bay
000050,Thruster_Fuel,19.7,40.7,45.1,18.08,90,N/A,3959,Engine_Bay
000051,Radiation_Shield,20.8,37.2,39,15.09,86,N/A,3645,Engineering_Bay
000052,Radiation_Shield,28.8,45.3,16.1,10.5,41,N/A,4898,Storage_Bay
000053,Oxygen_Cylinder,29.1,23.6,86.8,27.3,47,N/A,2822,Airlock
000054,3D_Printer,41.4,27.7,12.9,7.4,81,N/A,3399,Lab
000055,Vacuum_Sealed_Tools,13.7,24,11.2,1.84,35,N/A,287,Storage_Bay
000056,Asteroid_Sample_Container,17.8,15.8,29.9,1.4,26,N/A,399,Storage_Bay
000057,CO2_Scrubber,16.3,30,14.1,3.45,67,N/A,104,Engineering_Bay
000058,Pressure_Regulator,21,47.3,20.6,10.23,37,N/A,3695,Airlock
000059,LED_Work_Light,13.5,30.5,15.5,3.19,57,N/A,1882,Engineering_Bay
000060,Laptop,32.1,14.3,35.4,8.12,100,N/A,2347,Crew_Quarters
000061,Food_Packet,27.8,19.4,23.2,3.1,33,10-01-2027,35,Storage_Bay
000062,Protein_Bars,10.2,21.9,13.2,1.47,56,N/A,747,Storage_Bay
000063,Vacuum_Sealed_Tools,43.1,44,33.1,31.39,9,N/A,1410,Maintenance_Bay
000064,EV_Suit_Battery,18.2,16.6,26.2,3.96,21,N/A,668,Airlock
000065,Asteroid_Sample_Container,29.3,15.3,17.5,3.7,13,N/A,1620,Storage_Bay
000066,Space_Suit,36.6,22.9,42.8,17.94,71,N/A,3688,Storage_Bay
000067,EV_Suit_Battery,27.7,37.9,43,22.57,37,N/A,180,Airlock
000068,Circuit_Board,27.7,16.2,22.3,5,64,N/A,4265,Storage_Bay
000069,Water_Bottle,50,46.9,12.7,14.89,57,N/A,1099,Crew_Quarters
000070,Research_Samples,12.9,14.9,29,1.4,64,N/A,2407,Storage_Bay
000071,LED_Work_Light,33.3,23.3,49.7,19.28,57,N/A,4300,Engineering_Bay
000072,Circuit_Board,27.5,27.4,29,10.93,21,N/A,4277,Storage_Bay
000073,Thruster_Fuel,42,23.6,48.9,24.23,40,N/A,785,Engine_Bay
000074,Oxygen_Cylinder,16.6,22.2,40.1,19.6,19,N/A,3283,Crew_Quarters
000075,First_Aid_Kit,17.8,11.3,13.2,7.6,31,N/A,53,Crew_Quarters
000076,Thruster_Fuel,11.5,42.5,45,11,25,N/A,140,Engine_Bay
000077,Emergency_Oxygen_Mask,13.9,24.3,17.5,2.96,15,N/A,19,Crew_Quarters
000078,Water_Bottle,37,46.9,20.2,17.53,19,N/A,3429,Crew_Quarters
000079,Space_Suit,25,23.8,33.1,9.85,46,N/A,2920,Storage_Bay
000080,CO2_Scrubber,19,38.8,25.2,9.29,3,N/A,571,Life_Support
000081,Antibiotic_Supply,35.2,34.2,15.3,9.21,4,25-01-2026,3132,Lab
000082,Communication_Device,21,41.4,16,6.96,81,N/A,103,Crew_Quarters
000083,Vacuum_Sealed_Tools,49.4,36.6,15.1,13.65,62,N/A,2559,Maintenance_Bay
000084,Medical_Scanner,19,23.9,41.5,9.42,100,09-04-2027,88,Lab
000085,Fire_Extinguisher,10.6,22.2,48,5.65,54,N/A,627,Crew_Quarters
000086,Thruster_Fuel,43.3,18,44.5,17.34,71,N/A,4034,Storage_Bay
000087,Laptop,22.4,28.6,20.5,6.57,3,N/A,179,Crew_Quarters
000088,Tether_Reel,39.1,43.7,33.3,28.45,32,N/A,2243,External_Storage
000089,Gyroscope_Module,29.3,45,13.7,9.03,38,N/A,4484,Engineering_Bay
000090,Waste_Management_Kit,15.9,24.8,10.1,1.6,47,N/A,60,Sanitation_Bay
000091,Vacuum_Sealed_Tools,40.1,48.7,17.1,16.7,14,N/A,3818,Maintenance_Bay
000092,Helmet_Visor,24.7,43.9,42.6,23.1,12,N/A,3379,Storage_Bay
000093,Battery_Pack,15.5,15.3,15.3,1.81,59,N/A,912,External_Storage
000094,Water_Purification_Unit,16.9,40.4,27.5,9.39,80,N/A,4903,Crew_Quarters
000095,Tether_Reel,43.1,40.2,49.1,42.54,71,N/A,1134,External_Storage
000096,Microgravity_Lab_Kit,27.7,20,13.9,3.6,36,N/A,97,Crew_Quarters
000097,Lab_Microscope,22.7,35.3,33.5,13.42,52,N/A,1828,Medical_Bay
000098,Navigation_Module,32,21.7,41.9,14.55,92,N/A,3706,Cockpit
000099,Microgravity_Lab_Kit,20,11.1,29.5,3.8,94,N/A,99,Lab
000100,Lab_Microscope,16.5,12.6,47,4.89,52,N/A,4845,Medical_Bay
000101,Vacuum_Sealed_Tools,10.2,43.3,23.1,5.1,64,N/A,3617,Storage_Bay
000102,Protein_Bars,30.7,16.8,32.1,8.28,30,N/A,2425,Crew_Quarters
000103,Laptop,23.8,23.4,22.7,6.32,8,N/A,1468,Command_Center
000104,Pressure_Regulator,25.2,31.3,39.2,15.46,63,N/A,143,Airlock
000105,Tool_Kit,28.6,23.1,13,5.3,91,N/A,38,Storage_Bay
000106,Oxygen_Cylinder,23.6,19.6,62.3,49.3,93,N/A,1879,Medical_Bay
000107,Vacuum_Sealed_Tools,48,39,26.2,24.52,96,N/A,3800,Maintenance_Bay
000108,Vacuum_Sealed_Tools,34.1,41.1,41,28.73,77,N/A,336,Maintenance_Bay
000109,Vacuum_Sealed_Tools,21.6,33.5,38,13.75,84,N/A,1041,Maintenance_Bay
000110,Fire_Extinguisher,49.4,12.4,27.9,8.55,92,N/A,2173,Crew_Quarters
000111,Lab_Microscope,33.1,28.1,24.9,11.58,22,N/A,1605,Lab
000112,Antibiotic_Supply,34.2,41.8,16.2,11.58,74,12-06-2025,986,Medical_Bay
000113,CO2_Scrubber,24.2,21.4,21.5,5.57,55,N/A,918,Engineering_Bay
000114,Pressure_Regulator,29.1,21.3,45.8,14.19,67,N/A,344,Airlock
000115,Helmet_Visor,45.3,10.6,21,5.04,52,N/A,3309,Storage_Bay
000116,Scientific_Sensor,28.6,34.1,20.4,9.95,29,N/A,515,Lab
000117,Gyroscope_Module,19.4,29.9,31,8.99,30,N/A,4293,Cockpit
000118,Lab_Microscope,17.1,25.8,25.3,5.58,34,N/A,1035,Lab
000119,Asteroid_Sample_Container,12.8,18.4,25.3,7.8,3,N/A,4254,Lab
000120,Water_Purification_Unit,38.5,15.4,30.6,9.07,53,N/A,907,Life_Support
000121,3D_Printer,22.6,45.5,20.2,10.39,87,N/A,4768,Engineering_Bay
000122,Asteroid_Sample_Container,19.1,26.9,24.1,7.2,80,N/A,4496,Lab
000123,Solar_Panel,83.4,60.3,2.8,16.1,89,N/A,4233,Power_Bay
000124,Fire_Extinguisher,47,26.9,41.1,25.98,66,N/A,2518,Engineering_Bay
000125,Navigation_Module,11.6,19.1,48.5,5.37,29,N/A,4121,Cockpit
000126,Oxygen_Cylinder,27.9,27,63.8,19.4,15,N/A,111,Medical_Bay
000127,Pressure_Regulator,36.9,27.8,44.3,22.72,84,N/A,3992,Airlock
000128,Emergency_Beacon,40.7,38.6,33.8,26.55,76,N/A,523,Cockpit
000129,Tether_Reel,28.3,43.6,49.4,30.48,55,N/A,3173,Airlock
000130,Water_Bottle,14.1,21.1,39.1,5.82,100,N/A,3015,Crew_Quarters
000131,Tool_Kit,14.5,23.2,27.2,4,29,N/A,61,Maintenance_Bay
000132,CO2_Scrubber,17.5,17,48.5,7.21,76,N/A,155,Engineering_Bay
000133,Tool_Kit,23.4,11.8,17.7,7.2,40,N/A,37,Maintenance_Bay
000134,Radiation_Shield,15.4,10.7,34.4,2.83,95,N/A,1792,Storage_Bay
000135,Microgravity_Lab_Kit,15.3,29.6,12.5,6.2,22,N/A,55,Lab
000136,Circuit_Board,35.1,25.3,40,17.76,24,N/A,4186,Engineering_Bay
000137,Vacuum_Sealed_Tools,32.2,23.1,21,7.81,95,N/A,391,Maintenance_Bay
000138,Navigation_Module,32.6,44.6,30.7,22.32,23,N/A,3894,Cockpit
000139,LED_Work_Light,40.9,35.1,43.5,31.22,16,N/A,2534,Engineering_Bay
000140,Water_Purification_Unit,32.2,37.3,30.2,18.14,52,N/A,4717,Crew_Quarters
000141,Laptop,12.3,31.9,26.3,5.16,46,N/A,1138,Crew_Quarters
000142,Antibiotic_Supply,24.3,46.4,43,24.24,79,13-12-2026,4010,Lab
000143,Battery_Pack,16.5,47.4,40.4,15.8,45,N/A,999,Power_Bay
000144,Circuit_Board,34.3,41.9,37.1,26.66,25,N/A,3729,Engineering_Bay
000145,Food_Packet,22.2,27.6,16.5,2.4,79,16-02-2026,28,Crew_Quarters
000146,Radiation_Shield,15.2,10.9,13.7,1.13,49,N/A,848,Engineering_Bay
000147,3D_Printer,16.4,13.1,45.2,4.86,24,N/A,912,Lab
000148,Navigation_Module,23.2,22.2,45.1,11.61,28,N/A,3336,Command_Center
000149,Circuit_Board,45,39.2,44.9,39.6,37,N/A,933,Engineering_Bay
000150,Handheld_Spectrometer,21.5,13.5,16.1,2.34,20,N/A,4379,Engineering_Bay
000151,Fire_Extinguisher,31.5,23.1,25.8,9.39,16,N/A,1673,Crew_Quarters
000152,Circuit_Board,17.3,21.1,32.9,6,83,N/A,2403,Storage_Bay
000153,Laptop,49.8,34.5,48.9,42.01,81,N/A,4041,Command_Center
000154,Thruster_Fuel,23.6,46.3,42.6,23.27,22,N/A,571,Engine_Bay
000155,Handheld_Spectrometer,21.6,49.1,42.5,22.54,19,N/A,2536,Engineering_Bay
000156,Helmet_Visor,33.2,37.4,35.9,22.29,11,N/A,3558,Crew_Quarters
000157,Fire_Extinguisher,33.1,44.4,15.2,11.17,62,N/A,1998,Engineering_Bay
000158,Water_Purification_Unit,13.6,22.4,13.2,2.01,14,N/A,3498,Life_Support
000159,EV_Suit_Battery,32,26.7,34.2,14.61,96,N/A,334,Storage_Bay
000160,Vacuum_Sealed_Tools,25.3,35.4,19.3,8.64,18,N/A,3731,Storage_Bay
000161,Emergency_Oxygen_Mask,47.5,41.8,39,38.72,20,N/A,121,Medical_Bay
000162,Solar_Panel,72.9,74.5,3.2,7,35,N/A,1819,External_Storage
000163,Water_Purification_Unit,41.9,30,16.9,10.62,79,N/A,2602,Crew_Quarters
000164,Radiation_Shield,15.3,15,26.6,3.05,50,N/A,406,Storage_Bay
000165,Asteroid_Sample_Container,16.6,16,20.5,7.4,22,N/A,4516,Storage_Bay
000166,Food_Packet,17.4,22.8,29.5,3.1,66,24-11-2025,33,Crew_Quarters
000167,Water_Bottle,20.1,41,15.8,6.51,8,N/A,2117,Crew_Quarters
000168,Pressure_Regulator,33.5,31.3,31.9,16.72,49,N/A,2711,Engineering_Bay
000169,Protein_Bars,14,37,28.3,7.33,80,N/A,4995,Crew_Quarters
000170,Communication_Device,23.2,14,32.7,5.31,63,N/A,4316,Command_Center
000171,Handheld_Spectrometer,48.9,13.9,24.3,8.26,5,N/A,4260,Engineering_Bay
000172,Communication_Device,21.8,23.7,18.6,4.8,25,N/A,1277,Crew_Quarters
000173,Food_Packet,21.6,29.6,26,8.4,67,21-10-2025,30,Crew_Quarters
000174,Solar_Panel,59.2,81.6,1.6,14.2,10,N/A,2454,Power_Bay
000175,3D_Printer,28.7,43.4,26.1,16.25,68,N/A,907,Engineering_Bay
000176,Medical_Scanner,28.8,18.1,46.4,12.09,94,29-08-2025,64,Medical_Bay
000177,Microgravity_Lab_Kit,25,17.9,24.3,6,78,N/A,7,Crew_Quarters
000178,Seed_Packets,27,10.3,14.7,6.2,58,N/A,60,Lab
000179,CO2_Scrubber,15.4,41.4,23.2,7.4,86,N/A,192,Engineering_Bay
000180,Scientific_Sensor,33.1,21,11.4,3.96,7,N/A,2991,Cockpit
000181,Food_Packet,18.5,21,19.7,3.5,22,23-12-2025,17,Storage_Bay
000182,Antibiotic_Supply,28.5,26.7,34,12.94,35,10-12-2026,3678,Medical_Bay
000183,Vacuum_Sealed_Tools,33.6,11.6,25.7,5.01,87,N/A,2013,Maintenance_Bay
000184,Solar_Panel,91.8,92.4,4.6,14.9,24,N/A,3560,External_Storage
000185,CO2_Scrubber,49.9,39.7,36.1,35.76,29,N/A,780,Engineering_Bay
000186,Oxygen_Cylinder,20.2,20.4,48.6,21,84,N/A,3318,Crew_Quarters
000187,Oxygen_Cylinder,19,19.9,86.9,19.1,61,N/A,2682,Crew_Quarters
000188,Medical_Scanner,41,44.1,14.1,12.75,43,12-06-2026,42,Lab
000189,Fire_Extinguisher,30.1,32.1,49.3,23.82,8,N/A,1350,Crew_Quarters
000190,Thruster_Fuel,34.5,25.8,41.2,18.34,5,N/A,1748,Engine_Bay
000191,Fire_Extinguisher,22.2,17.1,25.2,4.78,50,N/A,51,Engineering_Bay
000192,3D_Printer,12.4,49.6,29.9,9.19,47,N/A,2881,Engineering_Bay
000193,Handheld_Spectrometer,11.6,28.5,29.1,4.81,18,N/A,3949,Engineering_Bay
000194,Circuit_Board,17.5,44.2,15.9,6.15,93,N/A,1009,Engineering_Bay
000195,Handheld_Spectrometer,33.1,11.4,17.6,3.32,19,N/A,433,Lab
000196,Waste_Management_Kit,10,13.9,11.3,6.8,23,N/A,6,Engineering_Bay
000197,Antibiotic_Supply,45.2,49,19.6,21.71,61,06-06-2025,4022,Lab
000198,Medical_Scanner,36.5,33.3,11,6.68,41,07-10-2026,67,Medical_Bay
000199,Seed_Packets,27.2,23.5,14.2,4.5,58,N/A,19,Greenhouse
000200,Lab_Microscope,12.2,23.3,13.9,1.98,81,N/A,1249,Lab
000201,Research_Samples,11.2,10.5,28.5,5.1,66,N/A,4259,Storage_Bay
000202,Waste_Management_Kit,24.2,17.4,18.8,1.3,5,N/A,96,Sanitation_Bay
000203,Vacuum_Sealed_Tools,18.6,31.2,26.5,7.69,21,N/A,1179,Storage_Bay
000204,Food_Packet,25,11,15,8,37,20-02-2027,4,Crew_Quarters
000205,Research_Samples,24.3,13,20.2,1.9,54,N/A,155,Storage_Bay
000206,Antibiotic_Supply,47.8,48.9,37,43.24,28,29-12-2025,404,Medical_Bay
000207,Thruster_Fuel,27.6,25.1,22.4,7.76,96,N/A,1043,Engine_Bay
000208,Emergency_Oxygen_Mask,39.5,11.2,32.8,7.26,100,N/A,2381,Crew_Quarters
000209,Tool_Kit,19,14.9,20.1,3.8,49,N/A,11,Maintenance_Bay
000210,Microgravity_Lab_Kit,18.1,24,26.1,9.3,11,N/A,72,Lab
000211,Cooling_System,21.4,28,40.2,12.04,97,N/A,3931,Power_Bay
000212,CO2_Scrubber,27.7,37.6,25.5,13.28,80,N/A,173,Engineering_Bay
000213,Research_Samples,26.6,11.6,14.3,2.1,4,N/A,3461,Lab
000214,Helmet_Visor,30.6,17.4,10.2,2.72,82,N/A,4134,Crew_Quarters
000215,Cooling_System,10.9,27.8,22.2,3.36,52,N/A,106,Power_Bay
000216,Radiation_Shield,40.2,20.6,34,14.08,42,N/A,2576,Engineering_Bay
000217,Seed_Packets,24.3,21.1,21,7.8,32,N/A,69,Lab
000218,Oxygen_Cylinder,17.6,15.7,58.4,18.5,52,N/A,906,Airlock
000219,Communication_Device,25.5,49.1,45.9,28.73,13,N/A,3611,Command_Center
000220,Communication_Device,17.3,27.2,36.5,8.59,33,N/A,260,Command_Center
000221,Antibiotic_Supply,21,49.5,46.7,24.27,4,24-06-2025,3475,Lab
000222,Seed_Packets,16.4,19.1,21.3,4.3,97,N/A,95,Lab
000223,CO2_Scrubber,26,25.3,23.4,7.7,51,N/A,161,Life_Support
000224,Lab_Microscope,14.7,42,37.7,11.64,64,N/A,3137,Medical_Bay
000225,Thruster_Fuel,20.7,49.4,25.5,13.04,48,N/A,2182,Engine_Bay
000226,Tool_Kit,25.2,10.9,28.3,8,85,N/A,29,Storage_Bay
000227,Medical_Scanner,46.3,49.7,20.8,23.93,98,01-12-2026,84,Medical_Bay
000228,3D_Printer,45.4,26.9,26.6,16.24,14,N/A,1277,Lab
000229,Solar_Panel,77.4,94.1,1.8,16.6,40,N/A,3209,External_Storage
000230,Seed_Packets,16.8,11.3,27.4,3.9,31,N/A,91,Greenhouse
000231,Water_Purification_Unit,37.7,17.8,11.3,3.79,47,N/A,2510,Crew_Quarters
000232,Medical_Scanner,22.2,27.3,49.5,15,93,03-07-2026,25,Medical_Bay
000233,Emergency_Oxygen_Mask,37.8,47.3,45.3,40.5,51,N/A,2432,Medical_Bay
000234,Medical_Scanner,32.6,43.5,31.5,22.34,56,27-06-2026,56,Medical_Bay
000235,Gyroscope_Module,39.5,48.9,33.5,32.35,1,N/A,444,Cockpit
000236,Seed_Packets,17.3,29.2,13.6,7.3,42,N/A,20,Lab
000237,Scientific_Sensor,14.1,19.1,35.5,4.78,1,N/A,816,Cockpit
000238,Tether_Reel,22.9,37,25.7,10.89,28,N/A,1333,Airlock
000239,Asteroid_Sample_Container,25,24.4,19.7,5.5,42,N/A,2725,Lab
000240,First_Aid_Kit,27.8,17.2,14,7.5,10,N/A,45,Crew_Quarters
000241,First_Aid_Kit,21.7,12.4,11.6,6.3,61,N/A,2,Medical_Bay
000242,Protein_Bars,10.9,23.9,23.4,3.05,22,N/A,2617,Storage_Bay
000243,EV_Suit_Battery,39.4,42.7,35.3,29.69,77,N/A,932,Storage_Bay
000244,Oxygen_Cylinder,24,21.2,97.2,43.8,31,N/A,1897,Medical_Bay
000245,Oxygen_Cylinder,17.4,20,53.3,30.5,53,N/A,3442,Medical_Bay
000246,Gyroscope_Module,10.8,20.4,11.6,1.28,71,N/A,829,Engineering_Bay
000247,Microgravity_Lab_Kit,26.4,11.3,10.4,8.4,97,N/A,13,Lab
000248,Circuit_Board,48.5,48.7,19.2,22.67,22,N/A,4708,Storage_Bay
000249,Medical_Scanner,43.5,16.7,20.2,7.34,14,02-08-2025,68,Lab
000250,Medical_Scanner,23.7,22.7,36.5,9.82,13,13-10-2026,37,Lab
000251,Emergency_Oxygen_Mask,19.2,13.2,23,2.91,25,N/A,2566,Medical_Bay
000252,Thruster_Fuel,16.6,42.3,11.6,4.07,22,N/A,1097,Storage_Bay
000253,Research_Samples,15.1,10.1,13.8,8.7,89,N/A,1294,Storage_Bay
000254,Antibiotic_Supply,31.1,37.8,22.1,12.99,53,11-06-2026,2955,Lab
000255,Laptop,28.1,43.7,49.1,30.15,28,N/A,3757,Command_Center
000256,Pressure_Regulator,41.5,48,26.4,26.29,1,N/A,2591,Engineering_Bay
000257,LED_Work_Light,25.4,48.5,47.8,29.44,85,N/A,992,Engineering_Bay
000258,Scientific_Sensor,37.6,18.9,21.7,7.71,90,N/A,3390,Lab
000259,Gyroscope_Module,47.7,21,20.2,10.12,59,N/A,419,Cockpit
000260,Cooling_System,28.5,35.1,36.7,18.36,7,N/A,1664,Engineering_Bay
000261,Medical_Scanner,33.8,16.3,13.3,3.66,50,01-12-2026,83,Medical_Bay
000262,Vacuum_Sealed_Tools,48.1,15.7,42.5,16.05,37,N/A,4643,Storage_Bay
000263,Radiation_Shield,38.9,33,48.6,31.19,35,N/A,2597,Engineering_Bay
000264,EV_Suit_Battery,46.6,41.1,49.2,47.12,33,N/A,781,Storage_Bay
000265,Medical_Scanner,46.6,24.9,46.6,27.04,29,29-09-2026,37,Medical_Bay
000266,Scientific_Sensor,48.9,36.6,29.3,26.22,55,N/A,4759,Lab
000267,Laptop,17.3,20.9,40.4,7.3,4,N/A,830,Crew_Quarters
000268,Battery_Pack,46.2,21.8,11.5,5.79,69,N/A,760,External_Storage
000269,Thruster_Fuel,11,29.2,40,6.42,15,N/A,3467,Storage_Bay
000270,LED_Work_Light,39.6,31,37.4,22.96,69,N/A,2080,Maintenance_Bay
000271,Research_Samples,17.9,17,19.4,4.5,82,N/A,2353,Lab
000272,Gyroscope_Module,10.4,18.5,13.9,1.34,50,N/A,833,Engineering_Bay
000273,Scientific_Sensor,15.5,19.3,48.3,7.22,95,N/A,243,Lab
000274,Helmet_Visor,49,18.6,32.5,14.81,8,N/A,4026,Crew_Quarters
000275,Navigation_Module,44.4,28.6,10.1,6.41,69,N/A,1737,Command_Center
000276,Communication_Device,47.5,25.2,14.1,8.44,41,N/A,1863,Crew_Quarters
000277,Radiation_Shield,34.5,22.8,34.9,13.73,16,N/A,4429,Engineering_Bay
000278,Cooling_System,26,42.3,42,23.1,91,N/A,1624,Power_Bay
000279,Asteroid_Sample_Container,28.3,16.9,23.9,8.5,11,N/A,3407,Storage_Bay
000280,Radiation_Shield,37.6,11.1,32.4,6.76,93,N/A,1423,Storage_Bay
000281,Pressure_Regulator,45,35.4,24.8,19.75,71,N/A,37,Engineering_Bay
000282,Oxygen_Cylinder,20,18.7,96,12.7,10,N/A,2592,Medical_Bay
000283,Helmet_Visor,17.8,23.6,24.2,5.08,39,N/A,3924,Storage_Bay
000284,Radiation_Shield,18.5,32.5,40.9,12.3,95,N/A,2928,Storage_Bay
000285,Helmet_Visor,39.3,19.8,38.7,15.06,93,N/A,2738,Crew_Quarters
000286,Solar_Panel,43.7,94.4,1.8,14.8,41,N/A,1271,External_Storage
000287,Tether_Reel,17.5,47.1,36.9,15.21,87,N/A,4683,External_Storage
000288,Emergency_Beacon,38,15.9,15.6,4.71,42,N/A,1047,Cockpit
000289,CO2_Scrubber,26.8,13.8,32.1,5.94,66,N/A,924,Life_Support
000290,Circuit_Board,12.9,36.1,30,6.99,79,N/A,3772,Engineering_Bay
000291,EV_Suit_Battery,15,20.2,39.4,5.97,32,N/A,533,Storage_Bay
000292,Space_Suit,33.3,27.5,46.2,21.15,84,N/A,4078,Airlock
000293,Water_Bottle,23.3,36.9,20,8.6,96,N/A,3212,Storage_Bay
000294,Seed_Packets,23.4,10.6,25.7,9.5,16,N/A,27,Greenhouse
000295,Radiation_Shield,42.5,14.6,47.2,14.64,5,N/A,3257,Storage_Bay
000296,Thruster_Fuel,22.4,13,16.1,2.34,100,N/A,3537,Storage_Bay
000297,Radiation_Shield,33.3,36.4,36.3,22,47,N/A,1556,Engineering_Bay
000298,Thruster_Fuel,39.1,22.4,27.7,12.13,37,N/A,711,Engine_Bay
000299,3D_Printer,31.6,18.2,41.8,12.02,27,N/A,1800,Lab
000300,LED_Work_Light,22.2,48.5,17.2,9.26,18,N/A,648,Engineering_Bay
000301,Emergency_Oxygen_Mask,41.4,49.6,24.6,25.26,92,N/A,2761,Medical_Bay
000302,Seed_Packets,17.5,21.4,13.9,9.7,59,N/A,18,Lab
000303,Vacuum_Sealed_Tools,30,40.9,42.8,26.26,86,N/A,2387,Storage_Bay
000304,Tool_Kit,27.5,10.2,28.9,2.4,4,N/A,10,Storage_Bay
000305,CO2_Scrubber,32.5,40.3,14.7,9.63,65,N/A,244,Engineering_Bay
000306,Space_Suit,18.7,41.9,23.5,9.21,48,N/A,4487,Storage_Bay
000307,Space_Suit,47.8,41.7,43.2,43.05,92,N/A,314,Storage_Bay
000308,CO2_Scrubber,12.7,17.3,48.2,5.3,11,N/A,961,Engineering_Bay
000309,Protein_Bars,30.9,22.2,46.2,15.85,64,N/A,1781,Storage_Bay
000310,Microgravity_Lab_Kit,15,10.9,26,3.2,43,N/A,50,Lab
000311,Emergency_Beacon,23.4,21.4,10.8,2.7,40,N/A,4609,Command_Center
000312,Navigation_Module,49.2,44.2,22.2,24.14,96,N/A,3966,Cockpit
000313,Battery_Pack,38.4,15.3,26.7,7.84,3,N/A,261,Power_Bay
000314,Water_Bottle,39.3,19.8,33.5,13.03,52,N/A,569,Crew_Quarters
